78450,"Extremism, Promotion negative activities please stop and take necessary action as per PEMRA code of conduct. N/A"
78451,"PEMRA AUTHORITY PLZ WAKEUP. UN-ETHICAL guests and discussions on all entertainment channels. In the past whole wk whenever i tried to watch any show(morn/late nite) they have guests celebrities who r having affairs and sharing their bold love stories. And a french cum pak designer mehmod bhatti z appearing with his girl friend , holding hands, sharing that they live-in together. For the BACKWARD ppl like me who r trying to groom their kidz with ethics, morality and religiously ofcourse , this z simply not acceptable. i can conveniently overlook if it cums from indian/ western media. the disturbing thing is it is coming from within Pakistan. 1. restrict the channels to select topic that are not socially acceptable. 2. monitor their activities. 3. response to the complaints"
78453,ARY DIGITAL ASIA the marriage Mistake ARY DIGITAL the marriage Mistake
78455,Hazrat program has shown quite vulgar show with qandeel baloch.They have done so much double meaning discussion. Kindly review the programme. Hazrat programme should be review with censor board.
78457,"Moazziz arakeen-e-Pemra Kal AbbTakk channel kay ek entertainment show ""Hazraat"" mein Qandeel Balouch ko bula kar intehayi fazool (double meaning, vulgar) guftagu ki gayi, jo kay ghair munasib hai. Shukriya. Kashif Siddique Show kay dono hosts ko warn kiya jaye."
78462,The 8XM and Jalwa music channels are ruining the young generation. You can't see these channels with family. They are promoting pornography/nudism that is against the teaching of Islam and our values. There is nothing on these channels except pornography. The aids on these channels show their popularity. Should be restricted nudism spreading through these channels.
78464,its regarding vulgar talkshows having qandeel baloch as a guest program should be banned
78465,"Dear Sir, My complaint is against Hidayat TV Transmission, this TV broadcast always anti Saudi Arabia and Anti Suni Muslim activities even you can review its transmission dated 10-01-2016 18:30 to 18:40 how they are against any muslim country and what live caller say... like this activities pakistan will be suffer from shia and suni war. should be issue warning to not broadcast any anti suni or any anti country matters"
78466,"Qandeel Baloch was the guest in Abbtak tv Show Hazraat on 9th January 2015, Whole interview was based on vulgar and double meaning content. Why did PEMRA allow that kind of stuff to be on air. Tv shows like this should be banned and all other shows should be monitored in future."
78467,"Dear Pemra, Just watched programme ""Hazraat"" on Abbtakk tv with Qandeel Baloch which has abusive and adults jokes and its totally bullshit. Its not a family show at all. I am amazed that why PEMRA does not notice such programmes. Kindly ban this programme as this will ruin our nation."
78468,"In the program HAZRAAT, the vulgur language having double meaning was used. The guest was Qandeel Baloch. PEMRA should take action and also make it mandatory the channel to apologize in their news bulletin."
78469,"My complaint is regarding Mehekti Morning show on ATV. In morning show their is a segment of female regarding exercises... and its really vulgar and shameful how the camera men is covering it. On 11 Jan 2016 at around 09:15 am kindly check that program to conform. My request is to take action against it because our media is getting out of hands nowadays. 1.Daily Monitoring of morning shows which are showing things which are not in our culture and are vulgar kindly take action against them. It can make a massive difference. 2. Monitoring of foreign content. Every channel is showing foreign content more then allowed. 3. Sensor board is sleeping. kindly wake them up. 4. kindly monitor ads especially foreign ads, most of them are vulgar."
78471,Big Boss promotes vulgarity and encourages shared living of unrelated men & women under one house. This show must be immediately taken off air. Our culture and religion doesn't allow this obscenity. Please take action before your own family members become victim of this filthy culture. Please take action before it starts to affect yourself and your family.
78472,"PEMRA should ban Indian channels and movies; these vulgar Indian channels can be replaced by Arabic, Iranian and Turkish channels dubbed or subtitled in Urdu. Hindi dubbed channels should be banned or our media should make an effort to dub them in Urdu for our general masses. It’s also a moral and religious responsibility of every Pakistani to fight against this cultural PEMRA should ban Indian channels and movies; these vulgar Indian channels can be replaced by Arabic, Iranian and Turkish channels dubbed or subtitled in Urdu. Hindi dubbed channels should be banned or our media should make an effort to dub them in Urdu for our general masses. we are muslim and should show the world our islamic culture by following islamic law and guidelines..."
78473,"On 08-12-2015 ABB TAK TV Channel (Team) alongwith police party raided some cosmetic companies. I was called by a client when he was arrested by them. When I reached Frere Police Station, I was approached by Tahir Niaz who claim as project director ABB TAK TV. He was with others, he was behind raid,he had powers to run or stop program to be shown ON-AIR. Also he can lodge or stop FIR. He advised me to settle for two lac rupees. I refused them bluntly Tahir and his team became violent, asked me out, where their cars were parked. They abused me and threatened for even dire consequences. I have made complaints for their illegal act to police. They are still threatening and harassing me. Please held inquiry to curb all such black mailing cartels that are being run in the name of different TV channels and programs."
78478,Sunsilk shampoo add is passing such comments which are slap to our religion and tradition .No family in pakistan would like its girla outside home at night time .But sunsilk add is supporting girls outside home at night time .This is against our religion .this type of adds are playing with our religion. Stop all these acts which are against local religion and traditions
78485,"The advertisement on these channels such as of beauty creams, mobile phones and female hygiene products that one must switch the channel when watching with family. Moreover in the recent lux awards the vulgarity prevailed once again. I must say that the role of pemra in enforcing the media ethics and morality is disappointing. Please do something to protect Pakistan's ideological borders on media."
78491,"BabyTV has been taken off Cable in my Area. Cable operator cites PEMRA orders to remove from cable but continues to distribute it via Box which he sells seperately Please confirm if there is indeed a PEMRA regulation otherwise Compaint may be lodged with Air Force HQ since this residential Area is managed by Pakistan Air Force (Falcon Complex, Gulberg)"
78492,please stop ALWAYS advertise as we feel ashame ful when we are sitting with family . you can advertise on women magazines.
78493,"Slander against basic cultural values, morality and good manners, cartoon in hini language nad also adds in hindi language (kamal abad in rawalpindi) plase chek this"
78494,In the Gharida farooqi show they invited Shive sena leader who abbused pakistan. Strong action should be taken against this channel as they are only serving the agenda of some body else and not pakistan's .. we dont need these kind of channels .. please take strong action against the channel .
78495,"Dear PEMRA, I wish to lodge a complaint against HUM network for using unethical means to promote their channel. Let me inform u that this channel uses paid reviewers across social media and fake TRPs to get a positive feedback and influence public opinion. The channel had tried these tactics in the past and had succeeded but it has become more obvious in recent years due to their deteriorating program quality. The viewers can no longer tolerate these malpractices and have a right to report if anything is wrong. Like all channels HUM TV should realize that its struggling with TRPs and should concentrate on improving its program quality. Please issue a final warning to this channel to stop these malpractices or block it across all satellites."
78497,Express news is using fake and false news on its Facebook page to get clicks on its website. Reporting standard is too low and cheap. Their website is full of adults ads. Please ask them to improve their standard. Block their Facebook page for low reporting standard and presenting fake news.
78498,https://www.youtube.com/watch?v=DRIb9ejTnJA This show broadcasted on this channel is highly condemnable. Take serious notice against this show. Highly vulgar show Take serious notice against this show.
78499,"The marriage mistake Love is an ice cream sundae, with all the marvelous coverings. Sex is the cherry on top. Read more at 2.To succeed with the opposite sex, tell her you're impotent. She can't wait to disprove it ARY DIGITAL ASIA PAKISTAN ARY NEWS ASIA PAKISTAN"
78500,"Propagation of vulgur adds which are totally unacceptable in any islamic country. We strongly protest against all such adds and tv programs which promote exposure of women, free intemingling of both sexes, romance and all such unethical content. The pakistani nation will not allow a bunch of people to hijack their rich culture. Adds like hardees (dil wale) vaseline lotion, enchanter, samsung (dancing) should be completely banned. Channels showing indian styled romance like geo kahani, ary digital, atv, hum tv, urdh1, should also be banned or forced to halt such programmes Pemra should establish and enforce a strict policy to which matches with the islamic ideology of constitution of Pakistan."
78501,"Khuda Ka Khauf Kro Us Ka Azaab bohat Dard naak hai Kia ker rahe ho kaha ja rahe ho ay Musalmano Aj kal hamary T.V per Morning shows k nam per jo ""baigairti"" phelai ja rahi he us ko hum log kitni safai se Aazadi ka nam de rahy hen? Kiya kapron k nam per gift pack ki tarah sajna or stage per akar jism tharka k logon ko be hayai ka daras dena hi *Azadi he*? Kiya young larkyon or larkon ko amny samny bitha k rumanwi (shameles) baten krna *Azadi he?"" Main Dosre Channels k bare men kuch nh kehna chahta per Pakistani channels ko dekh kr ab aisa lagta hai k Pakistan ab Islamic Mulk nhi raha.. Halanky Pakistan Islamic Jamhuria mulk hai... Per aaj kal kia kr raha media itni be gairti itna neech ban gaya hai hamara media O Allah K Bandy khuda k khauf se daro Band kro ye Be Gairti pan... Apne bacho'n ka future dekho kia de raha hai media hamare aane wali naslon ko.... Maghribi Tahzeeb ko choro .. kin dhando se laga diya hai hamare media ne hmen plzzzz... Khuda Ka Wasta Hai Ye Sb Band Kro"
78502,Dear pemra Today I saw vasline cemerical on geo tv.in add girl are showing her upper body shoulders and back. We can't see this kind of commercial with family and with my sister. We are living in Muslim country. Please stop this kind of commercial add. Regards Ahmed Please stop this kind of commercial which make us shy and shame in family
78503,"This channel on-aired a movie which is based on US military operation for Usama Bin Laden in Abbotabad, Pakistan on 18-01-2016 between 7:30 PM to 10:15 PM Pakistan Standard Time. This movie is showing Pakistani Government and military failure. Which is not a good impression for Pakistan."
78506,"ARY Digital ARY NEWS The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test.ARY Digital ARY NEWS Read more at Pakistan ARY Digital ARY NEWS 2. All Asian parents are into your children having a respectable, decent stable job. Acting was unimaginable to my parents. ARY Digital ARY NEWS ARY Digital ARY NEWS The romantic love we feel toward the opposite sex is probably one extra help from God to bring you together, but that's it. All the rest of it, the true love, is the test. ARY Digital ARY NEWS Read more at Pakistan ARY Digital ARY NEWS 2. All Asian parents are into your children having a respectable, decent stable job. Acting was unimaginable to my parents. ARY Digital ARY NEWS"
78510,"The show ""waardaat"" on aired on this channel was xtremely vulgar. Take serious notice against the show and channel Take serious notice against the show and channel. This show ""waardaat"" should be banned"
78513,All the news channels are showing live feeds of an on going operation in charseda. Which is not only illegal act but also it is a threat to the operation. Also the faces of the pak army are recognizable which is a threat to their familes. Its illegal and very dangerous act . So please stop all this before another tragedy starts over. Stopping of telcasting on going operation Hiding faces of army when telecasting images of post operation
78514,"During the live reporting on the Bacha Khan University incident in January 20 at 1030 am, GEO TV, has reported the name of a Professor of Chemistry as being killed. The reporting of names and details of deceased should not be released prior to informing the next of kin. A code of conduct amongst ALL the channels needs to be strictly enforced for live reporting of such incidents as well as any incident where deaths occur. Names and other personal details (designation or other identification) should be with held till a reasonable time."
